Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALZR11;FII ALIANZA;CI;4.479.484;0,724;
BBPO11;FII BB PRGII;CI  ER;15.919.690;2,358;
BCFF11;FII BC FFII;CI  ER;20.562.973;2,428;
BRCR11;FII BC FUND;CI  ER;26.638.202;2,960;
BCRI11;FII BEES CRI;CI  ER;4.400.000;0,643;
BRCO11;FII BRESCO;CI  ER;14.778.781;2,126;
BTLG11;FII BTLG;CI;12.984.501;1,988;
CPTS11;FII CAPI SEC;CI;16.722.636;2,222;
HGCR11;FII CSHG CRI;CI  ER;12.372.450;1,688;
HGLG11;FII CSHG LOG;CI  ER;18.436.967;4,278;
HGRU11;FII CSHG URB;CI  ER;18.406.458;3,060;
VRTA11;FII FATOR VE;CI  ER;10.000.000;1,509;
GTWR11;FII G TOWERS;CI  ER;12.000.000;1,680;
GGRC11;FII GGRCOVEP;CI  ER;7.758.429;1,363;
HABT11;FII HABIT II;CI  ER;5.412.107;0,850;
HCTR11;FII HECTARE;CI  ER;9.008.872;1,750;
HGBS11;FII HEDGEBS;CI  ER;10.000.000;2,665;
HGRE11;FII HG REAL;CI  ER;11.817.767;2,268;
HSML11;FII HSI MALL;CI  ER;15.780.613;1,869;
HFOF11;FII HTOPFOF3;CI  ER;21.547.000;2,881;
IRDM11;FII IRIDIUM;CI  ES;21.000.000;3,791;
JSRE11;FII JS REAL;CI  ER;20.767.328;2,575;
KNRI11;FII KINEA;CI  ER;27.279.389;5,522;
KNIP11;FII KINEA IP;CI  ER;47.134.764;7,177;
KNCR11;FII KINEA RI;CI  ER;39.097.087;4,637;
MALL11;FII MALLS BP;CI  ER;7.560.351;0,964;
MCCI11;FII MAUA;CI;8.927.401;1,232;
MXRF11;FII MAXI REN;CI  ER;182.487.980;2,540;
MGFF11;FII MOGNO;CI  ER;9.050.620;1,037;
PATC11;FII PATRIA;CI  ER;3.477.434;0,392;
QAGR11;FII QUASAR A;CI  ER;5.040.000;0,355;
RBRP11;FII RBR PROP;CI  ER;12.517.818;1,492;
RBRF11;FII RBRALPHA;CI;12.932.347;1,591;
RBRR11;FII RBRHGRAD;CI;7.638.479;0,989;
RECR11;FII REC RECE;CI  ER;13.516.355;2,025;
RECT11;FII REC REND;CI  ERS;9.484.430;1,078;
RCRB11;FII RIOB RC;CI  ER;3.690.695;0,768;
RBVA11;FII RIOB VA;CI  ER;11.588.199;1,622;
SDIL11;FII SDI LOG;CI  ER;6.395.050;0,847;
TGAR11;FII TG ATIVO;CI  ER;7.135.777;1,318;
VGIR11;FII VALREIII;CI;4.506.414;0,537;
LVBI11;FII VBI LOG;CI  ER;11.775.177;1,770;
VINO11;FII VINC COR;CI  ER;12.673.868;1,027;
VISC11;FII VINCI SC;CI  ER;14.270.995;2,053;
VILG11;FII VINCILOG;CI  ER;14.291.305;2,239;
XPCI11;FII XP CRED;CI  ER;6.567.011;0,811;
XPIN11;FII XP INDL;CI;6.586.568;0,994;
XPLG11;FII XP LOG;CI  ER;26.043.793;4,019;
XPCM11;FII XP MACAE;CI  ER;2.414.570;0,126;
XPML11;FII XP MALLS;CI;18.207.683;2,489;
XPPR11;FII XP PROP;CI  ER;7.316.171;0,673;
Quantidade Teórica Total;;;850.401.989;100,000
Redutor;;;60.040.117,65468608
